,Type,Onset,Duration,,
1,Mic1,"2,28825","0,02375",,
2,Mic1,"3,28825","0,02375","0,99825",0.99825
3,Mic1,"4,2865","0,0255","1,00075",1.00075
4,Mic1,"5,28725","0,02475","0,99975",0.99975
5,Mic1,"6,287","0,02","0,9995",0.9995
6,Mic1,"7,2865","0,0255","1,0005",1.0005
7,Mic1,"8,287","0,025",1,1
8,Mic1,"9,287","0,02",1,1
9,Mic1,"10,287","0,02",1,1
10,Mic1,"11,287","0,025","1,001",1.001
11,Mic1,"12,288","0,024","0,999000000000001",0.999000000000001
12,Mic1,"13,287","0,026","0,999499999999999",0.999499999999999
13,Mic1,"14,2865","0,02825","1,0005",1.0005
14,Mic1,"15,287","0,025","0,999999999999998",0.999999999999998
15,Mic1,"16,287","0,025",1,1
16,Mic1,"17,287","0,025","0,99925",0.99925
17,Mic1,"18,28625","0,02675","1,00075",1.00075
18,Mic1,"19,287","0,02425",1,1
19,Mic1,"20,287","0,026","1,001",1.001
20,Mic1,"21,288","0,024",1,1
21,Mic1,"22,288","0,024","0,998999999999999",0.998999999999999
22,Mic1,"23,287","0,025",1,1
23,Mic1,"24,287","0,025","0,99925",0.99925
24,Mic1,"25,28625","0,02575","1,00075",1.00075
25,Mic1,"26,287","0,025",1,1
26,Mic1,"27,287","0,025","0,999500000000001",0.999500000000001
27,Mic1,"28,2865","0,0255","1,0005",1.0005
28,Mic1,"29,287","0,025",1,1
29,Mic1,"30,287","0,025","1,005",1.005
30,Mic1,"31,292","0,01975","0,994999999999997",0.994999999999997
31,Mic1,"32,287","0,025","0,999250000000004",0.999250000000004
32,Mic1,"33,28625","0,0255",1,1
33,Mic1,"34,28625","0,0255","1,0005",1.0005
34,Mic1,"35,28675","0,02",1,1
35,Mic1,"36,28675","0,025",1,1
36,Mic1,"37,28675","0,025",1,1
37,Mic1,"38,28675","0,025",1,1
38,Mic1,"39,28675","0,025",1,1
39,Mic1,"40,28675","0,025","1,005",1.005
40,Mic1,"41,29175","0,02","0,994999999999997",0.994999999999997
41,Mic1,"42,28675","0,025","1,00125",1.00125
42,Mic1,"43,288","0,02375","0,998250000000006",0.998250000000006
43,Mic1,"44,28625","0,0255",1,1
44,Mic1,"45,28625","0,0255",1,1
45,Mic1,"46,28625","0,02475","1,0005",1.0005
46,Mic1,"47,28675","0,02425",1,1
47,Mic1,"48,28675","0,026",1,1
48,Mic1,"49,28675","0,02","0,999500000000005",0.999500000000005
49,Mic1,"50,28625","0,02475","1,0015",1.0015
50,Mic1,"51,28775","0,024","0,9985",0.9985
51,Mic1,"52,28625","0,02475","1,0005",1.0005
52,Mic1,"53,28675","0,02",1,1
53,Mic1,"54,28675","0,02",1,1
54,Mic1,"55,28675","0,026",1,1
55,Mic1,"56,28675","0,025",1,1
56,Mic1,"57,28675","0,025",1,1
57,Mic1,"58,28675","0,025","0,999250000000004",0.999250000000004
58,Mic1,"59,286","0,02075","1,00075",1.00075
59,Mic1,"60,28675","0,025",1,1
60,Mic1,"61,28675","0,025",1,1
61,Mic1,"62,28675","0,01975",1,1
62,Mic1,"63,28675","0,02475","0,999250000000004",0.999250000000004
63,Mic1,"64,286","0,0255","1,0055",1.0055
64,Mic1,"65,2915","0,02125","0,996250000000003",0.996250000000003
65,Mic1,"66,28775","0,02375","0,998750000000001",0.998750000000001
66,Mic1,"67,2865","0,02",1,1
67,Mic1,"68,2865","0,025","0,999499999999998",0.999499999999998
68,Mic1,"69,286","0,0255","1,0005",1.0005
69,Mic1,"70,2865","0,02","0,999499999999998",0.999499999999998
70,Mic1,"71,286","0,0255","1,00149999999999",1.00149999999999
71,Mic1,"72,2875","0,024","0,998500000000007",0.998500000000007
72,Mic1,"73,286","0,0265","1,00149999999999",1.00149999999999
73,Mic1,"74,2875","0,024","0,999000000000009",0.999000000000009
74,Mic1,"75,2865","0,026","0,999499999999998",0.999499999999998
75,Mic1,"76,286","0,0255","1,0005",1.0005
76,Mic1,"77,2865","0,025",1,1
77,Mic1,"78,2865","0,026",1,1
78,Mic1,"79,2865","0,02","0,999249999999989",0.999249999999989
79,Mic1,"80,28575","0,02675","1,00575000000001",1.00575000000001
80,Mic1,"81,2915","0,021","0,995000000000005",0.995000000000005
81,Mic1,"82,2865","0,02","0,999249999999989",0.999249999999989
82,Mic1,"83,28575","0,02675","1,00025000000001",1.00025000000001
83,Mic1,"84,286","0,0205","1,0005",1.0005
84,Mic1,"85,2865","0,025",1,1
85,Mic1,"86,2865","0,025",1,1
86,Mic1,"87,2865","0,025",1,1
87,Mic1,"88,2865","0,025","0,999249999999989",0.999249999999989
88,Mic1,"89,28575","0,0255","1,00075000000001",1.00075000000001
89,Mic1,"90,2865","0,025",1,1
90,Mic1,"91,2865","0,025",1,1
91,Mic1,"92,2865","0,02475","0,999249999999989",0.999249999999989
92,Mic1,"93,28575","0,0255","1,0005",1.0005
93,Mic1,"94,28625","0,02",1,1
94,Mic1,"95,28625","0,025","0,999499999999998",0.999499999999998
95,Mic1,"96,28575","0,0255",1,1
96,Mic1,"97,28575","0,02675","1,0005",1.0005
97,Mic1,"98,28625","0,025","1,00125",1.00125
98,Mic1,"99,2875","0,02375","0,998750000000001",0.998750000000001
99,Mic1,"100,28625","0,02425","0,999499999999998",0.999499999999998
100,Mic1,"101,28575","0,0255",1,1
101,Mic1,"102,28575","0,0205","1,0005",1.0005
102,Mic1,"103,28625","0,02","0,999499999999998",0.999499999999998
103,Mic1,"104,28575","0,0255","1,0005",1.0005
104,Mic1,"105,28625","0,025","0,999250000000004",0.999250000000004
105,Mic1,"106,2855","0,02575","1,00075",1.00075
106,Mic1,"107,28625","0,02425",1,1
107,Mic1,"108,28625","0,025",1,1
108,Mic1,"109,28625","0,025","0,999250000000004",0.999250000000004
109,Mic1,"110,2855","0,02575","1,00075",1.00075
110,Mic1,"111,28625","0,02425",1,1
111,Mic1,"112,28625","0,025",1,1
112,Mic1,"113,28625","0,025","1,00500000000001",1.00500000000001
113,Mic1,"114,29125","0,02","0,994249999999994",0.994249999999994
114,Mic1,"115,2855","0,02575","1,00075",1.00075
115,Mic1,"116,28625","0,02475",1,1
116,Mic1,"117,28625","0,025",1,1
117,Mic1,"118,28625","0,02475",1,1
118,Mic1,"119,28625","0,02475",1,1
119,Mic1,"120,28625","0,02475","0,999250000000004",0.999250000000004
120,Mic1,"121,2855","0,0255","1,00075",1.00075
121,Mic1,"122,28625","0,02475","0,999750000000006",0.999750000000006
122,Mic1,"123,286","0,025",1,1
123,Mic1,"124,286","0,025",1,1
124,Mic1,"125,286","0,025","0,999499999999998",0.999499999999998
125,Mic1,"126,2855","0,0255","1,0005",1.0005
126,Mic1,"127,286","0,025",1,1
127,Mic1,"128,286","0,025",1,1
128,Mic1,"129,286","0,025",1,1
129,Mic1,"130,286","0,025","0,999500000000012",0.999500000000012
130,Mic1,"131,2855","0,0265","1,00049999999999",1.00049999999999
131,Mic1,"132,286","0,02",1,1
132,Mic1,"133,286","0,025",1,1
133,Mic1,"134,286","0,025","0,999500000000012",0.999500000000012
134,Mic1,"135,2855","0,0205","1,00049999999999",1.00049999999999
135,Mic1,"136,286","0,02","0,999249999999989",0.999249999999989
136,Mic1,"137,28525","0,02675","1,00575000000001",1.00575000000001
137,Mic1,"138,291","0,02",2,2
138,Mic1,"140,291","0,021","0,995000000000005",0.995000000000005
139,Mic1,"141,286","0,025","0,999500000000012",0.999500000000012
140,Mic1,"142,2855","0,0205",1,1
141,Mic1,"143,2855","0,0205","1,00049999999999",1.00049999999999
142,Mic1,"144,286","0,025",1,1
143,Mic1,"145,286","0,02",1,1
144,Mic1,"146,286","0,025","0,999249999999989",0.999249999999989
145,Mic1,"147,28525","0,0255",1,1
146,Mic1,"148,28525","0,02075",1,1
147,Mic1,"149,28525","0,02675",1,1
148,Mic1,"150,28525","0,0205","1,00050000000002",1.00050000000002
149,Mic1,"151,28575","0,02525","1,005",1.005
150,Mic1,"152,29075","0,02125","0,994499999999988",0.994499999999988
151,Mic1,"153,28525","0,0255","1,00175000000002",1.00175000000002
152,Mic1,"154,287","0,02375","0,998249999999985",0.998249999999985
153,Mic1,"155,28525","0,0255",1,1
154,Mic1,"156,28525","0,0255","1,00050000000002",1.00050000000002
155,Mic1,"157,28575","0,025",1,1
156,Mic1,"158,28575","0,025",1,1
157,Mic1,"159,28575","0,025",1,1
158,Mic1,"160,28575","0,025",1,1
159,Mic1,"161,28575","0,025",1,1
160,Mic1,"162,28575","0,025",1,1
161,Mic1,"163,28575","0,025",1,1
162,Mic1,"164,28575","0,025",1,1
163,Mic1,"165,28575","0,025","0,999499999999983",0.999499999999983
164,Mic1,"166,28525","0,0255","1,00050000000002",1.00050000000002
165,Mic1,"167,28575","0,025",1,1
166,Mic1,"168,28575","0,025",1,1
167,Mic1,"169,28575","0,025","1,005",1.005
168,Mic1,"170,29075","0,021","0,994499999999988",0.994499999999988
169,Mic1,"171,28525","0,0205","1,00050000000002",1.00050000000002
170,Mic1,"172,28575","0,02",1,1
171,Mic1,"173,28575","0,025","1,005",1.005
172,Mic1,"174,29075","0,021","0,994249999999994",0.994249999999994
173,Mic1,"175,285","0,02575","1,00075000000001",1.00075000000001
174,Mic1,"176,28575","0,02475",1,1
175,Mic1,"177,28575","0,025",1,1
176,Mic1,"178,28575","0,01975",1,1
177,Mic1,"179,28575","0,025",1,1
178,Mic1,"180,28575","0,01975",1,1
179,Mic1,"181,28575","0,026","0,999249999999989",0.999249999999989
180,Mic1,"182,285","0,02475","1,00050000000002",1.00050000000002
181,Mic1,"183,2855","0,02",1,1
182,Mic1,"184,2855","0,025","0,999499999999983",0.999499999999983
183,Mic1,"185,285","0,0255","1,00050000000002",1.00050000000002
184,Mic1,"186,2855","0,025",1,1
185,Mic1,"187,2855","0,02","0,999499999999983",0.999499999999983
186,Mic1,"188,285","0,0265",1,1
187,Mic1,"189,285","0,0255","1,00050000000002",1.00050000000002
188,Mic1,"190,2855","0,02","0,999499999999983",0.999499999999983
189,Mic1,"191,285","0,0255",1,1
190,Mic1,"192,285","0,0205","1,00050000000002",1.00050000000002
191,Mic1,"193,2855","0,025","0,999499999999983",0.999499999999983
192,Mic1,"194,285","0,0255","1,00050000000002",1.00050000000002
193,Mic1,"195,2855","0,025","0,999499999999983",0.999499999999983
194,Mic1,"196,285","0,02475","1,00050000000002",1.00050000000002
195,Mic1,"197,2855","0,025",1,1
196,Mic1,"198,2855","0,025",1,1
197,Mic1,"199,2855","0,02","0,999249999999989",0.999249999999989
198,Mic1,"200,28475","0,02575","1,00075000000001",1.00075000000001
199,Mic1,"201,2855","0,025",1,1
200,Mic1,"202,2855","0,02",1,1
201,Mic1,"203,2855","0,025","1,00099999999998",1.00099999999998
202,Mic1,"204,2865","0,024","0,999000000000024",0.999000000000024
203,Mic1,"205,2855","0,025","0,999249999999989",0.999249999999989
204,Mic1,"206,28475","0,0255","1,00075000000001",1.00075000000001
205,Mic1,"207,2855","0,02475","1,005",1.005
206,Mic1,"208,2905","0,021","0,994249999999994",0.994249999999994
207,Mic1,"209,28475","0,0255","1,00075000000001",1.00075000000001
208,Mic1,"210,2855","0,02475","1,00474999999997",1.00474999999997
209,Mic1,"211,29025","0,02125","0,995250000000027",0.995250000000027
210,Mic1,"212,2855","0,02475","0,999249999999989",0.999249999999989
211,Mic1,"213,28475","0,0255",1,1
212,Mic1,"214,28475","0,0255","1,00049999999999",1.00049999999999
213,Mic1,"215,28525","0,025","1,001",1.001
214,Mic1,"216,28625","0,024","0,998999999999995",0.998999999999995
215,Mic1,"217,28525","0,025","0,999500000000012",0.999500000000012
216,Mic1,"218,28475","0,0255","1,00049999999999",1.00049999999999
217,Mic1,"219,28525","0,025",1,1
218,Mic1,"220,28525","0,025","0,999500000000012",0.999500000000012
219,Mic1,"221,28475","0,0255","1,00049999999999",1.00049999999999
220,Mic1,"222,28525","0,025",1,1
221,Mic1,"223,28525","0,025",1,1
222,Mic1,"224,28525","0,025",1,1
223,Mic1,"225,28525","0,025","0,999250000000018",0.999250000000018
224,Mic1,"226,2845","0,02675","1,00074999999998",1.00074999999998
225,Mic1,"227,28525","0,025",1,1
226,Mic1,"228,28525","0,026",1,1
227,Mic1,"229,28525","0,025",1,1
228,Mic1,"230,28525","0,025",1,1
229,Mic1,"231,28525","0,026","0,999500000000012",0.999500000000012
230,Mic1,"232,28475","0,0255","1,00049999999999",1.00049999999999
231,Mic1,"233,28525","0,025","0,999500000000012",0.999500000000012
232,Mic1,"234,28475","0,0255","1,00049999999999",1.00049999999999
233,Mic1,"235,28525","0,025",1,1
234,Mic1,"236,28525","0,026",1,1
235,Mic1,"237,28525","0,025",1,1
236,Mic1,"238,28525","0,02475","0,999250000000018",0.999250000000018
237,Mic1,"239,2845","0,02575","1,00074999999998",1.00074999999998
238,Mic1,"240,28525","0,02475","0,999750000000006",0.999750000000006
239,Mic1,"241,285","0,02775","1,001",1.001
240,Mic1,"242,286","0,024","0,998500000000007",0.998500000000007
241,Mic1,"243,2845","0,02575","1,00049999999999",1.00049999999999
242,Mic1,"244,285","0,025",1,1
243,Mic1,"245,285","0,025",1,1
244,Mic1,"246,285","0,025",1,1
245,Mic1,"247,285","0,025","0,999500000000012",0.999500000000012
246,Mic1,"248,2845","0,0265",1,1
247,Mic1,"249,2845","0,0255","1,00049999999999",1.00049999999999
248,Mic1,"250,285","0,025",1,1
249,Mic1,"251,285","0,02775","1,005",1.005
250,Mic1,"252,29","0,021","0,996000000000009",0.996000000000009
251,Mic1,"253,286","0,024",1,1
252,Mic1,"254,286","0,024","0,998999999999995",0.998999999999995
253,Mic1,"255,285","0,025","0,999249999999989",0.999249999999989
254,Mic1,"256,28425","0,02575","1,00024999999999",1.00024999999999
255,Mic1,"257,2845","0,0255","1,00550000000004",1.00550000000004
256,Mic1,"258,29","0,021","0,995000000000005",0.995000000000005
257,Mic1,"259,285","0,0275",1,1
258,Mic1,"260,285","0,02",1,1
259,Mic1,"261,285","0,025",1,1
260,Mic1,"262,285","0,02",1,1
261,Mic1,"263,285","0,0275",1,1
262,Mic1,"264,285","0,0275",1,1
263,Mic1,"265,285","0,02475",1,1
264,Mic1,"266,285","0,025",1,1
265,Mic1,"267,285","0,0275","1,00099999999998",1.00099999999998
266,Mic1,"268,286","0,02375","0,998249999999985",0.998249999999985
267,Mic1,"269,28425","0,0255","1,00049999999999",1.00049999999999
268,Mic1,"270,28475","0,025","1,00025000000005",1.00025000000005
269,Mic1,"271,285","0,026","0,999749999999949",0.999749999999949
270,Mic1,"272,28475","0,025","0,999500000000012",0.999500000000012
271,Mic1,"273,28425","0,0255","1,00049999999999",1.00049999999999
272,Mic1,"274,28475","0,025","0,999500000000012",0.999500000000012
273,Mic1,"275,28425","0,0205","1,00049999999999",1.00049999999999
274,Mic1,"276,28475","0,02",1,1
275,Mic1,"277,28475","0,025",1,1
276,Mic1,"278,28475","0,025",1,1
277,Mic1,"279,28475","0,025","0,999500000000012",0.999500000000012
278,Mic1,"280,28425","0,0255","1,00150000000002",1.00150000000002
279,Mic1,"281,28575","0,024","0,998999999999967",0.998999999999967
280,Mic1,"282,28475","0,025",1,1
281,Mic1,"283,28475","0,025",1,1
282,Mic1,"284,28475","0,0275","0,999500000000012",0.999500000000012
283,Mic1,"285,28425","0,0255",1,1
284,Mic1,"286,28425","0,028","1,00550000000004",1.00550000000004
285,Mic1,"287,28975","0,021","0,994999999999948",0.994999999999948
286,Mic1,"288,28475","0,025","0,999250000000018",0.999250000000018
287,Mic1,"289,284","0,02575","1,00074999999998",1.00074999999998
288,Mic1,"290,28475","0,025",1,1
289,Mic1,"291,28475","0,026","0,999250000000018",0.999250000000018
290,Mic1,"292,284","0,02575",1,1
291,Mic1,"293,284","0,02675",1,1
292,Mic1,"294,284","0,0205",1,1
293,Mic1,"295,284","0,0205",1,1
294,Mic1,"296,284","0,0205","1,00049999999999",1.00049999999999
295,Mic1,"297,2845","0,025",1,1
296,Mic1,"298,2845","0,025","0,999500000000012",0.999500000000012
297,Mic1,"299,284","0,0255",1,1
298,Mic1,"300,284","0,0255",1,1
299,Mic1,"301,284","0,0255","1,00049999999999",1.00049999999999
300,Mic1,"302,2845","0,02",1,1
301,Mic1,"303,2845","0,02","0,999500000000012",0.999500000000012
302,Mic1,"304,284","0,0205",1,1
303,Mic1,"305,284","0,0255","1,00049999999999",1.00049999999999
304,Mic1,"306,2845","0,026",1,1
305,Mic1,"307,2845","0,025","0,999500000000012",0.999500000000012
306,Mic1,"308,284","0,0255","1,00049999999999",1.00049999999999
307,Mic1,"309,2845","0,025","0,999500000000012",0.999500000000012
308,Mic1,"310,284","0,0205","1,00049999999999",1.00049999999999
309,Mic1,"311,2845","0,02","0,999250000000018",0.999250000000018
310,Mic1,"312,28375","0,02675","1,00024999999999",1.00024999999999
311,Mic1,"313,284","0,0255","1,00049999999999",1.00049999999999
312,Mic1,"314,2845","0,025","0,999250000000018",0.999250000000018
313,Mic1,"315,28375","0,02575","1,00574999999998",1.00574999999998
314,Mic1,"316,2895","0,021","0,995000000000005",0.995000000000005
315,Mic1,"317,2845","0,025","0,999250000000018",0.999250000000018
316,Mic1,"318,28375","0,02675","1,00074999999998",1.00074999999998
317,Mic1,"319,2845","0,025","0,999250000000018",0.999250000000018
318,Mic1,"320,28375","0,02075",1,1
319,Mic1,"321,28375","0,02575","1,00074999999998",1.00074999999998
320,Mic1,"322,2845","0,02",1,1
321,Mic1,"323,2845","0,02475","0,999250000000018",0.999250000000018
322,Mic1,"324,28375","0,0205",1,1
323,Mic1,"325,28375","0,02575","1,00049999999999",1.00049999999999
324,Mic1,"326,28425","0,025",1,1
325,Mic1,"327,28425","0,025",1,1
326,Mic1,"328,28425","0,025",1,1
327,Mic1,"329,28425","0,026","1,00200000000001",1.00200000000001
328,Mic1,"330,28625","0,023","0,99799999999999",0.99799999999999
329,Mic1,"331,28425","0,025","0,999500000000012",0.999500000000012
330,Mic1,"332,28375","0,02475","1,00049999999999",1.00049999999999
331,Mic1,"333,28425","0,025",1,1
332,Mic1,"334,28425","0,025",1,1
333,Mic1,"335,28425","0,026",1,1
334,Mic1,"336,28425","0,025","0,999500000000012",0.999500000000012
335,Mic1,"337,28375","0,0255","1,00049999999999",1.00049999999999
336,Mic1,"338,28425","0,025","0,999500000000012",0.999500000000012
337,Mic1,"339,28375","0,0205",1,1
338,Mic1,"340,28375","0,0255",1,1
339,Mic1,"341,28375","0,0255","1,00049999999999",1.00049999999999
340,Mic1,"342,28425","0,025",1,1
341,Mic1,"343,28425","0,025",1,1
342,Mic1,"344,28425","0,025","1,00100000000003",1.00100000000003
343,Mic1,"345,28525","0,025",1,1
344,Mic1,"346,28525","0,025","0,998499999999979",0.998499999999979
345,Mic1,"347,28375","0,0255","1,00049999999999",1.00049999999999
346,Mic1,"348,28425","0,026","0,999500000000012",0.999500000000012
347,Mic1,"349,28375","0,0255","1,00049999999999",1.00049999999999
348,Mic1,"350,28425","0,025",1,1
349,Mic1,"351,28425","0,025","0,999250000000018",0.999250000000018
350,Mic1,"352,2835","0,02575","1,00074999999998",1.00074999999998
351,Mic1,"353,28425","0,025","0,999750000000006",0.999750000000006
352,Mic1,"354,284","0,025","0,999500000000012",0.999500000000012
353,Mic1,"355,2835","0,02475",1,1
354,Mic1,"356,2835","0,0255","1,00049999999999",1.00049999999999
355,Mic1,"357,284","0,02625","0,999500000000012",0.999500000000012
356,Mic1,"358,2835","0,0205",1,1
357,Mic1,"359,2835","0,02675","1,00049999999999",1.00049999999999
358,Mic1,"360,284","0,026",1,1
359,Mic1,"361,284","0,025",1,1
360,Mic1,"362,284","0,026",1,1
361,Mic1,"363,284","0,02",1,1
362,Mic1,"364,284","0,02625",1,1
363,Mic1,"365,284","0,02425",1,1
364,Mic1,"366,284","0,025","0,999250000000018",0.999250000000018
365,Mic1,"367,28325","0,02675","1,00024999999999",1.00024999999999
366,Mic1,"368,2835","0,0255","1,00650000000002",1.00650000000002
367,Mic1,"369,29","0,02025","0,993999999999971",0.993999999999971
368,Mic1,"370,284","0,025","0,999500000000012",0.999500000000012
369,Mic1,"371,2835","0,0255",1,1
370,Mic1,"372,2835","0,0255","1,00049999999999",1.00049999999999
371,Mic1,"373,284","0,02",1,1
372,Mic1,"374,284","0,025",1,1
373,Mic1,"375,284","0,025","0,999250000000018",0.999250000000018
374,Mic1,"376,28325","0,02675","1,00024999999999",1.00024999999999
375,Mic1,"377,2835","0,0255","1,00049999999999",1.00049999999999
376,Mic1,"378,284","0,025",1,1
377,Mic1,"379,284","0,025",1,1
378,Mic1,"380,284","0,025","0,999250000000018",0.999250000000018
379,Mic1,"381,28325","0,0255",1,1
