,Type,Onset,Duration
1,Mic1,1.4495,0.02775
2,Mic1,2.4495,0.0285
3,Mic1,3.4495,0.0285
4,Mic1,4.4495,0.02775
5,Mic1,5.4495,0.0285
6,Mic1,6.4495,0.0285
7,Mic1,7.4495,0.02775
8,Mic1,8.4495,0.0285
9,Mic1,9.4495,0.0285
10,Mic1,10.4495,0.0285
11,Mic1,11.4495,0.0285
12,Mic1,12.4495,0.0285
13,Mic1,13.4495,0.0285
14,Mic1,14.4495,0.0285
15,Mic1,15.4495,0.02775
16,Mic1,16.4495,0.02825
17,Mic1,17.44925,0.0285
18,Mic1,18.44925,0.0285
19,Mic1,19.44925,0.02875
20,Mic1,20.44925,0.02875
21,Mic1,21.44925,0.02875
22,Mic1,22.44925,0.0285
23,Mic1,23.44925,0.02875
24,Mic1,24.44925,0.0285
25,Mic1,25.44925,0.0285
26,Mic1,26.44925,0.0285
27,Mic1,27.44925,0.0285
28,Mic1,28.44925,0.0285
29,Mic1,29.44925,0.02775
30,Mic1,30.44925,0.02775
31,Mic1,31.44925,0.02775
32,Mic1,32.44925,0.02775
33,Mic1,33.44925,0.02775
34,Mic1,34.44925,0.0285
35,Mic1,35.44925,0.0285
36,Mic1,36.44925,0.0285
37,Mic1,37.44925,0.0285
38,Mic1,38.44925,0.02775
39,Mic1,39.44925,0.02775
40,Mic1,40.44925,0.0285
41,Mic1,41.44925,0.0285
42,Mic1,42.449,0.02875
43,Mic1,43.44925,0.0285
44,Mic1,44.449,0.0285
45,Mic1,45.449,0.0285
46,Mic1,46.449,0.02875
47,Mic1,47.449,0.02775
48,Mic1,48.449,0.0285
49,Mic1,49.449,0.02775
50,Mic1,50.449,0.02775
51,Mic1,51.449,0.02875
52,Mic1,52.449,0.02875
53,Mic1,53.449,0.02775
54,Mic1,54.449,0.02775
55,Mic1,55.449,0.0285
56,Mic1,56.449,0.0285
57,Mic1,57.449,0.0285
58,Mic1,58.449,0.0285
59,Mic1,59.449,0.0285
60,Mic1,60.449,0.0285
61,Mic1,61.449,0.0285
62,Mic1,62.449,0.02775
63,Mic1,63.449,0.0285
64,Mic1,64.449,0.0285
65,Mic1,65.449,0.02775
66,Mic1,66.449,0.02775
67,Mic1,67.449,0.0285
68,Mic1,68.449,0.0285
69,Mic1,69.44875,0.0285
70,Mic1,70.44875,0.02875
71,Mic1,71.44875,0.028
72,Mic1,72.44875,0.028
73,Mic1,73.44875,0.0285
74,Mic1,74.44875,0.02775
75,Mic1,75.44875,0.0285
76,Mic1,76.44875,0.02875
77,Mic1,77.44875,0.0285
78,Mic1,78.44875,0.02775
79,Mic1,79.44875,0.0285
80,Mic1,80.44875,0.02775
81,Mic1,81.44875,0.02875
82,Mic1,82.44875,0.0285
83,Mic1,83.44875,0.0285
84,Mic1,84.44875,0.02775
85,Mic1,85.44875,0.0285
86,Mic1,86.44875,0.0285
87,Mic1,87.44875,0.0285
88,Mic1,88.44875,0.02775
89,Mic1,89.44875,0.02775
90,Mic1,90.44875,0.0285
91,Mic1,91.44875,0.0285
92,Mic1,92.44875,0.02775
93,Mic1,93.44875,0.02775
