"","Type","Onset","Duration"
"1","Mic1",2.092,0.02775
"2","Mic1",3.09175,0.028
"3","Mic1",4.09175,0.028
"4","Mic1",5.09175,0.028
"5","Mic1",6.09175,0.02775
"6","Mic1",7.09175,0.0285
"7","Mic1",8.09175,0.02775
"8","Mic1",9.09175,0.02875
"9","Mic1",10.09175,0.0285
"10","Mic1",11.09175,0.02775
"11","Mic1",12.09175,0.0285
"12","Mic1",13.09175,0.02775
"13","Mic1",14.09175,0.02775
"14","Mic1",15.09175,0.0285
"15","Mic1",16.09175,0.02775
"16","Mic1",17.09175,0.0285
"17","Mic1",18.09175,0.0285
"18","Mic1",19.09175,0.02775
"19","Mic1",20.09175,0.0285
"20","Mic1",21.09175,0.0285
"21","Mic1",22.09175,0.02775
"22","Mic1",23.09175,0.02775
"23","Mic1",24.09175,0.0285
"24","Mic1",25.09175,0.0285
"25","Mic1",26.09175,0.0285
"26","Mic1",27.09175,0.0285
"27","Mic1",28.09175,0.0285
"28","Mic1",29.09175,0.0285
"29","Mic1",30.0915,0.02875
"30","Mic1",31.0915,0.0285
"31","Mic1",32.0915,0.0285
"32","Mic1",33.0915,0.028
"33","Mic1",34.0915,0.0285
"34","Mic1",35.0915,0.02775
"35","Mic1",36.0915,0.02775
"36","Mic1",37.0915,0.0285
"37","Mic1",38.0915,0.02875
"38","Mic1",39.0915,0.0285
"39","Mic1",40.0915,0.0285
"40","Mic1",41.0915,0.0285
"41","Mic1",42.0915,0.0285
"42","Mic1",43.0915,0.02775
"43","Mic1",44.0915,0.02775
"44","Mic1",45.0915,0.0285
"45","Mic1",46.0915,0.02775
"46","Mic1",47.0915,0.0285
"47","Mic1",48.0915,0.0285
"48","Mic1",49.0915,0.02775
"49","Mic1",50.0915,0.0285
"50","Mic1",51.0915,0.0285
"51","Mic1",52.0915,0.02775
"52","Mic1",53.0915,0.0285
"53","Mic1",54.0915,0.0285
"54","Mic1",55.09125,0.02875
"55","Mic1",56.09125,0.028
"56","Mic1",57.09125,0.02875
"57","Mic1",58.09125,0.02775
"58","Mic1",59.09125,0.02775
"59","Mic1",60.09125,0.02775
"60","Mic1",61.09125,0.02875
"61","Mic1",62.09125,0.02775
"62","Mic1",63.09125,0.02775
"63","Mic1",64.09125,0.02775
"64","Mic1",65.09125,0.02775
"65","Mic1",66.09125,0.02875
"66","Mic1",67.09125,0.02775
"67","Mic1",68.09125,0.0285
"68","Mic1",69.09125,0.02675
"69","Mic1",70.09125,0.02775
"70","Mic1",71.09125,0.0285
"71","Mic1",72.09125,0.02775
"72","Mic1",73.09125,0.02775
"73","Mic1",74.09125,0.02775
"74","Mic1",75.09125,0.0285
"75","Mic1",76.09125,0.02775
"76","Mic1",77.09125,0.0275
"77","Mic1",78.09125,0.0285
"78","Mic1",79.09125,0.0285
"79","Mic1",80.09125,0.02675
"80","Mic1",81.091,0.028
"81","Mic1",82.091,0.02875
"82","Mic1",83.091,0.02875
"83","Mic1",84.091,0.02775
"84","Mic1",85.091,0.0285
"85","Mic1",86.091,0.02775
"86","Mic1",87.091,0.0285
"87","Mic1",88.091,0.02775
"88","Mic1",89.091,0.0285
"89","Mic1",90.091,0.0285
"90","Mic1",91.091,0.0285
"91","Mic1",92.091,0.0285
"92","Mic1",93.091,0.02775
"93","Mic1",94.091,0.0285
"94","Mic1",95.091,0.0285
"95","Mic1",96.091,0.0285
"96","Mic1",97.091,0.0285
"97","Mic1",98.091,0.02775
"98","Mic1",99.091,0.02775
"99","Mic1",100.091,0.0285
"100","Mic1",101.091,0.0285
"101","Mic1",102.091,0.0285
"102","Mic1",103.091,0.0275
"103","Mic1",104.091,0.0285
"104","Mic1",105.091,0.0285
"105","Mic1",106.091,0.0285
"106","Mic1",107.09075,0.02775
"107","Mic1",108.09075,0.02775
"108","Mic1",109.09075,0.02775
"109","Mic1",110.09075,0.02775
"110","Mic1",111.09075,0.0285
"111","Mic1",112.09075,0.0285
"112","Mic1",113.09075,0.02875
"113","Mic1",114.09075,0.02875
"114","Mic1",115.09075,0.0285
"115","Mic1",116.09075,0.0285
"116","Mic1",117.09075,0.0285
"117","Mic1",118.09075,0.0285
"118","Mic1",119.09075,0.0285
"119","Mic1",120.09075,0.0285
"120","Mic1",121.09075,0.0285
"121","Mic1",122.09075,0.02775
"122","Mic1",123.09075,0.02775
"123","Mic1",124.09075,0.02775
"124","Mic1",125.09075,0.02775
"125","Mic1",126.09075,0.02775
"126","Mic1",127.09075,0.0285
"127","Mic1",128.09075,0.0285
"128","Mic1",129.09075,0.0285
"129","Mic1",130.09075,0.0285
"130","Mic1",131.09075,0.02775
"131","Mic1",132.09075,0.0285
"132","Mic1",133.09075,0.0285
"133","Mic1",134.0905,0.02875
"134","Mic1",135.0905,0.02875
"135","Mic1",136.0905,0.02875
"136","Mic1",137.0905,0.02775
"137","Mic1",138.0905,0.0285
"138","Mic1",139.0905,0.02775
"139","Mic1",140.0905,0.0285
"140","Mic1",141.0905,0.0285
"141","Mic1",142.0905,0.0285
"142","Mic1",143.0905,0.0285
"143","Mic1",144.0905,0.02775
"144","Mic1",145.0905,0.02775
"145","Mic1",146.0905,0.0285
"146","Mic1",147.0905,0.0285
"147","Mic1",148.0905,0.02775
"148","Mic1",149.0905,0.0285
"149","Mic1",150.0905,0.02775
"150","Mic1",151.0905,0.0285
"151","Mic1",152.0905,0.0285
"152","Mic1",153.0905,0.0285
"153","Mic1",154.0905,0.0285
"154","Mic1",155.0905,0.0285
"155","Mic1",156.0905,0.0285
"156","Mic1",157.0905,0.0285
"157","Mic1",158.0905,0.0285
"158","Mic1",159.09025,0.02875
"159","Mic1",160.09025,0.0285
"160","Mic1",161.09025,0.0285
"161","Mic1",162.09025,0.02875
"162","Mic1",163.09025,0.02875
"163","Mic1",164.09025,0.02875
"164","Mic1",165.09025,0.02875
"165","Mic1",166.09025,0.02875
"166","Mic1",167.09025,0.0285
"167","Mic1",168.09025,0.0285
"168","Mic1",169.09025,0.0285
"169","Mic1",170.09025,0.0285
"170","Mic1",171.09025,0.0285
"171","Mic1",172.09025,0.0285
"172","Mic1",173.09025,0.0285
"173","Mic1",174.09025,0.0285
"174","Mic1",175.09025,0.0285
"175","Mic1",176.09025,0.0285
"176","Mic1",177.09025,0.0285
"177","Mic1",178.09025,0.02875
"178","Mic1",179.09025,0.0285
"179","Mic1",180.09025,0.0285
"180","Mic1",181.09025,0.0285
"181","Mic1",182.09025,0.0285
