Type,Onset,Duration
Mic1,4896.25,25.0
Mic1,5896.25,20.25
Mic1,6901.25,20.0
Mic1,7896.25,25.0
Mic1,8896.5,24.75
Mic1,9896.25,25.0
Mic1,10896.25,25.0
Mic1,11896.25,25.0
Mic1,12896.25,25.0
Mic1,13896.5,24.75
Mic1,14896.5,24.75
Mic1,15896.5,24.75
Mic1,16896.5,24.75
Mic1,17896.5,24.75
Mic1,18896.5,24.75
Mic1,19896.5,24.75
Mic1,20896.5,24.75
Mic1,21896.5,24.75
Mic1,22896.5,24.75
Mic1,23896.5,24.75
Mic1,24896.5,24.75
Mic1,25896.5,24.75
Mic1,26896.5,24.75
Mic1,27896.5,24.75
Mic1,28896.5,24.75
Mic1,29896.5,24.75
Mic1,30896.5,24.75
Mic1,31896.5,24.75
Mic1,32896.5,25.0
Mic1,33896.5,25.0
Mic1,34896.5,25.0
Mic1,35896.5,25.0
Mic1,36896.5,25.0
Mic1,37896.5,25.0
Mic1,38896.5,25.0
Mic1,39896.5,25.0
Mic1,40896.5,25.0
Mic1,41896.5,25.0
Mic1,42896.5,25.0
Mic1,43896.5,25.0
Mic1,44896.5,25.0
Mic1,45896.75,24.75
Mic1,46896.5,25.0
Mic1,47896.5,25.0
Mic1,48896.75,24.75
Mic1,49896.75,24.75
Mic1,50896.75,24.75
Mic1,51896.75,24.75
Mic1,52896.75,24.75
Mic1,53896.75,24.75
Mic1,54896.75,24.75
Mic1,55896.75,24.75
Mic1,56896.75,24.75
Mic1,57896.75,24.75
Mic1,58896.75,24.75
Mic1,59896.75,24.75
Mic1,60896.75,24.75
Mic1,61896.75,19.75
Mic1,62896.75,19.75
Mic1,63896.75,19.75
Mic1,64896.75,24.75
Mic1,65896.75,24.75
Mic1,66896.75,24.75
Mic1,67896.75,20.0
Mic1,68896.75,20.0
Mic1,69896.75,25.0
Mic1,70896.75,25.0
Mic1,71896.75,25.0
Mic1,72896.75,20.0
Mic1,73896.75,25.0
Mic1,74901.75,20.0
Mic1,75901.75,20.0
Mic1,76896.75,25.0
Mic1,77896.75,25.0
Mic1,78896.75,25.0
Mic1,79897.0,24.75
Mic1,80896.75,25.0
Mic1,81896.75,25.0
Mic1,82896.75,25.0
Mic1,83897.0,24.75
Mic1,84896.75,25.0
Mic1,85897.0,24.75
Mic1,86897.0,24.75
Mic1,87897.0,24.75
Mic1,88897.0,24.75
Mic1,89897.0,19.75
Mic1,90897.0,24.75
Mic1,91902.0,19.75
Mic1,92897.0,24.75
Mic1,93897.0,19.75
Mic1,94897.0,24.75
Mic1,95897.0,24.75
Mic1,96897.0,24.75
Mic1,97897.0,24.75
Mic1,98897.0,24.75
Mic1,99897.0,24.75
Mic1,100897.0,24.75
Mic1,101897.0,24.75
Mic1,102897.0,24.75
Mic1,103897.0,24.75
Mic1,104897.0,25.0
Mic1,105897.0,25.0
Mic1,106897.0,25.0
Mic1,107897.0,25.0
Mic1,108897.0,25.0
Mic1,109897.0,25.0
Mic1,110897.0,25.0
Mic1,111902.0,20.0
Mic1,112897.0,25.0
Mic1,113897.0,25.0
Mic1,114897.0,25.0
Mic1,115897.0,25.0
Mic1,116897.0,25.0
Mic1,117897.0,25.0
Mic1,118902.0,20.0
Mic1,119897.0,25.0
Mic1,120897.0,25.0
Mic1,121897.25,24.75
Mic1,122897.25,19.75
Mic1,123897.25,24.75
Mic1,124897.25,24.75
Mic1,125897.25,24.75
Mic1,126897.25,24.75
Mic1,127897.25,24.75
Mic1,128897.25,24.75
Mic1,129897.25,24.75
Mic1,130897.25,24.75
Mic1,131897.25,24.75
Mic1,132897.25,24.75
Mic1,133897.25,24.75
Mic1,134897.25,24.75
Mic1,135897.25,19.75
Mic1,136897.25,24.75
Mic1,137897.25,24.75
Mic1,138897.25,24.75
Mic1,139902.25,19.75
Mic1,140897.25,25.0
Mic1,141897.25,25.0
Mic1,142897.25,25.0
Mic1,143897.25,25.0
Mic1,144897.25,25.0
Mic1,145897.25,25.0
Mic1,146897.25,25.0
Mic1,147897.25,25.0
Mic1,148897.25,25.0
Mic1,149897.25,25.0
Mic1,150897.25,25.0
Mic1,151897.25,25.0
Mic1,152897.25,25.0
Mic1,153897.25,25.0
Mic1,154897.25,25.0
Mic1,155897.25,25.0
Mic1,156897.25,25.0
Mic1,157897.5,24.75
Mic1,158897.5,24.75
Mic1,159897.5,24.75
Mic1,160897.5,24.75
Mic1,161897.5,19.75
Mic1,162897.5,24.75
Mic1,163897.5,24.75
Mic1,164897.5,24.75
Mic1,165897.5,24.75
Mic1,166897.5,24.75
Mic1,167897.5,24.75
Mic1,168897.5,24.75
Mic1,169897.5,19.75
Mic1,170897.5,24.75
Mic1,171897.5,24.75
Mic1,172897.5,24.75
Mic1,173897.5,24.75
Mic1,174897.5,20.0
Mic1,175897.5,24.75
Mic1,176897.5,20.0
Mic1,177897.5,25.0
Mic1,178897.5,25.0
Mic1,179897.5,25.0
Mic1,180897.5,25.0
Mic1,181902.5,20.0
Mic1,182897.5,25.0
Mic1,183897.5,25.0
Mic1,184897.5,25.0
Mic1,185897.5,25.0
Mic1,186897.5,25.0
Mic1,187897.5,25.0
Mic1,188897.5,25.0
Mic1,189897.5,25.0
Mic1,190897.5,25.0
Mic1,191897.5,25.0
Mic1,192902.5,20.0
Mic1,193897.5,25.0
Mic1,194897.75,24.75
Mic1,195897.75,24.75
Mic1,196897.75,24.75
Mic1,197897.75,24.75
Mic1,198897.75,24.75
Mic1,199897.75,24.75
Mic1,200897.75,24.75
Mic1,201897.75,24.75
Mic1,202897.75,24.75
Mic1,203897.75,24.75
Mic1,204897.75,24.75
Mic1,205897.75,24.75
Mic1,206897.75,24.75
Mic1,207897.75,24.75
Mic1,208897.75,24.75
Mic1,209897.75,24.75
Mic1,210897.75,24.75
Mic1,211897.75,24.75
Mic1,212897.75,24.75
Mic1,213897.75,25.0
Mic1,214897.75,25.0
Mic1,215897.75,25.0
Mic1,216897.75,25.0
Mic1,217897.75,25.0
Mic1,218897.75,25.0
Mic1,219897.75,25.0
Mic1,220897.75,25.0
Mic1,221897.75,25.0
Mic1,222897.75,25.0
Mic1,223897.75,25.0
