Type,Onset,Duration
Opto1,3.52125,0.22775
Opto1,3.78825,0.21125
Opto1,4.0555,0.22775
Opto1,4.3225,0.1605
Opto1,4.5895,0.22775
Opto1,4.87325,0.21125
Opto1,5.1405,0.211
Opto1,5.4075,0.22775
Opto1,5.6745,0.22775
Opto1,5.9415,0.228
Opto1,6.20875,0.22775
Opto1,6.4925,0.211
Opto1,6.7595,0.21125
Opto1,7.02675,0.22775
Opto1,7.29375,0.22775
Opto1,7.56075,0.22775
Opto1,7.8445,0.21125
Opto1,8.11175,0.211
Opto1,8.37875,0.22775
Opto1,8.64575,0.22775
Opto1,8.91275,0.228
Opto1,9.1965,0.21125
Opto1,9.9145,0.211
Opto1,10.1815,0.211
Opto1,10.4485,0.22775
Opto1,10.7155,0.228
Opto1,10.9995,0.211
Opto1,11.2665,0.211
Opto1,11.5335,0.21125
Opto1,11.8005,0.228
Opto1,12.0675,0.228
Opto1,12.7855,0.22775
Opto1,13.0525,0.22775
Opto1,13.33625,0.21125
Opto1,13.6035,0.211
Opto1,13.8705,0.211
Opto1,14.58825,0.22775
Opto1,14.85525,0.22775
Opto1,15.12225,0.228
Opto1,15.406,0.21125
Opto1,15.67325,0.211
Opto1,15.94025,0.21125
Opto1,16.20725,0.228
Opto1,16.47425,0.228
Opto1,16.7415,0.22775
Opto1,17.02525,0.21125
Opto1,17.2925,0.211
Opto1,17.5595,0.211
Opto1,17.8265,0.22775
Opto1,18.0935,0.228
Opto1,18.3605,0.228
Opto1,18.6445,0.211
Opto1,19.36225,0.211
Opto1,19.62925,0.21125
Opto1,19.89625,0.228
Opto1,20.16325,0.228
Opto1,20.4305,0.22775
Opto1,20.71425,0.21125
Opto1,20.98125,0.21125
Opto1,21.2485,0.22775
Opto1,21.5155,0.22775
Opto1,21.7825,0.228
Opto1,22.0495,0.228
Opto1,22.3335,0.211
Opto1,22.6005,0.211
Opto1,22.8675,0.228
Opto1,23.1345,0.228
Opto1,23.40175,0.22775
Opto1,24.13625,0.211
Opto1,24.40325,0.21125
Opto1,24.67025,0.21125
Opto1,24.9375,0.22775
Opto1,25.2045,0.22775
Opto1,25.4715,0.228
Opto1,25.75525,0.21125
Opto1,26.0225,0.211
Opto1,26.2895,0.22775
Opto1,26.5565,0.22775
Opto1,26.8235,0.228
Opto1,27.09075,0.22775
Opto1,27.3745,0.211
Opto1,27.6415,0.21125
Opto1,27.90875,0.22775
Opto1,28.17575,0.22775
Opto1,28.44275,0.22775
Opto1,28.7265,0.21125
Opto1,29.027,0.1945
Opto1,29.26075,0.211
Opto1,29.52775,0.21125
Opto1,29.795,0.22775
Opto1,30.07875,0.211
Opto1,30.34575,0.211
Opto1,30.61275,0.21125
Opto1,30.87975,0.228
Opto1,31.59775,0.22775
Opto1,31.86475,0.22775
Opto1,32.13175,0.22775
Opto1,32.4155,0.21125
Opto1,33.13325,0.21125
Opto1,33.4005,0.211
Opto1,33.6675,0.22775
Opto1,33.9345,0.22775
Opto1,34.2015,0.228
Opto1,34.4855,0.211
Opto1,34.7525,0.211
Opto1,35.0195,0.21125
Opto1,35.28675,0.22775
Opto1,35.55375,0.22775
Opto1,35.82075,0.22775
Opto1,36.1045,0.21125
Opto1,36.37175,0.211
Opto1,36.63875,0.22775
Opto1,36.90575,0.22775
Opto1,37.17275,0.228
Opto1,37.43975,0.228
Opto1,37.72375,0.211
Opto1,37.99075,0.22775
Opto1,38.25775,0.228
Opto1,38.52475,0.228
Opto1,38.792,0.22775
Opto1,39.5265,0.211
Opto1,39.7935,0.21125
Opto1,40.0605,0.21125
Opto1,40.32775,0.22775
Opto1,40.59475,0.22775
Opto1,40.86175,0.228
Opto1,41.1455,0.21125
Opto1,41.41275,0.211
Opto1,42.1305,0.22775
Opto1,42.3975,0.22775
Opto1,42.6645,0.228
Opto1,42.93175,0.22775
Opto1,43.2155,0.211
Opto1,43.4825,0.21125
Opto1,43.74975,0.22775
Opto1,44.4675,0.22775
Opto1,44.7345,0.22775
Opto1,45.0015,0.22775
Opto1,45.28525,0.21125
Opto1,45.55225,0.21125
Opto1,45.8195,0.22775
Opto1,46.0865,0.22775
Opto1,46.3535,0.228
Opto1,46.6205,0.228
Opto1,47.35525,0.211
Opto1,47.62225,0.211
Opto1,47.88925,0.22775
Opto1,48.15625,0.228
Opto1,48.42325,0.228
Opto1,48.6905,0.22775
Opto1,48.97425,0.21125
Opto1,49.2415,0.211
Opto1,49.5085,0.22775
Opto1,49.7755,0.22775
Opto1,50.0425,0.228
Opto1,50.32625,0.21125
Opto1,50.5935,0.211
Opto1,50.8605,0.22775
Opto1,51.57825,0.22775
Opto1,51.84525,0.228
Opto1,52.11225,0.228
Opto1,52.39625,0.211
Opto1,52.66325,0.21125
Opto1,53.381,0.22775
Opto1,53.648,0.228
Opto1,53.91525,0.22775
Opto1,54.18225,0.22775
Opto1,54.466,0.21125
Opto1,54.73325,0.211
Opto1,55.00025,0.211
Opto1,55.26725,0.22775
Opto1,55.53425,0.228
Opto1,55.80125,0.228
Opto1,56.08525,0.211
Opto1,56.35225,0.21125
Opto1,56.61925,0.228
Opto1,56.88625,0.228
Opto1,57.1535,0.22775
Opto1,57.43725,0.21125
Opto1,57.70425,0.21125
Opto1,57.9715,0.22775
Opto1,58.2385,0.22775
Opto1,58.5055,0.228
Opto1,58.7725,0.228
Opto1,59.0565,0.211
Opto1,59.3235,0.21125
Opto1,59.5905,0.21125
Opto1,59.85775,0.22775
Opto1,60.12475,0.22775
Opto1,60.39175,0.22775
Opto1,60.6755,0.21125
Opto1,60.94275,0.211
Opto1,61.20975,0.22775
Opto1,61.47675,0.228
Opto1,61.74375,0.228
Opto1,62.011,0.22775
Opto1,62.29475,0.211
Opto1,62.56175,0.21125
Opto1,62.829,0.22775
Opto1,63.096,0.22775
Opto1,63.363,0.22775
Opto1,63.63,0.228
Opto1,64.3645,0.21125
Opto1,64.63175,0.211
Opto1,64.89875,0.211
Opto1,65.16575,0.22775
Opto1,65.43275,0.228
Opto1,65.7,0.22775
Opto1,65.98375,0.211
Opto1,66.25075,0.21125
Opto1,66.518,0.22775
Opto1,66.785,0.22775
Opto1,67.052,0.22775
Opto1,67.33575,0.21125
Opto1,67.60275,0.21125
Opto1,67.87,0.22775
Opto1,68.137,0.22775
Opto1,68.85475,0.22775
Opto1,69.12175,0.228
Opto1,69.40575,0.211
Opto1,69.67275,0.211
Opto1,69.93975,0.22775
Opto1,70.20675,0.228
Opto1,70.47375,0.228
Opto1,70.741,0.22775
Opto1,71.02475,0.21125
Opto1,71.292,0.211
Opto1,71.559,0.22775
Opto1,71.826,0.22775
Opto1,72.093,0.228
Opto1,72.37675,0.21125
Opto1,72.644,0.211
Opto1,72.911,0.22775
Opto1,73.62875,0.22775
Opto1,73.89575,0.228
Opto1,74.16275,0.228
Opto1,74.43,0.22775
Opto1,74.71375,0.21125
Opto1,74.98075,0.21125
Opto1,75.248,0.22775
Opto1,75.515,0.22775
Opto1,75.782,0.228
Opto1,76.066,0.211
Opto1,76.333,0.211
Opto1,76.6,0.22775
Opto1,76.867,0.228
Opto1,77.134,0.228
Opto1,77.40125,0.22775
Opto1,77.685,0.21125
Opto1,77.952,0.228
Opto1,78.219,0.228
Opto1,78.48625,0.22775
Opto1,78.75325,0.228
Opto1,79.02025,0.228
Opto1,79.30425,0.211
Opto1,79.57125,0.22775
Opto1,80.289,0.22775
Opto1,80.556,0.228
Opto1,80.823,0.228
Opto1,81.09025,0.22775
Opto1,81.374,0.21125
Opto1,81.641,0.21125
Opto1,81.90825,0.22775
Opto1,82.17525,0.22775
Opto1,82.44225,0.228
Opto1,82.726,0.21125
