Type,Onset,Duration
Opto1,2208.25,211.75
Opto1,2475.25,211.75
Opto1,2742.25,228.5
Opto1,3009.5,178.0
Opto1,3276.5,228.5
Opto1,3543.5,228.5
Opto1,3827.5,228.25
Opto1,4094.5,211.75
Opto1,4361.5,211.75
Opto1,4612.0,228.25
Opto1,4895.75,228.5
Opto1,5162.75,228.5
Opto1,5429.75,228.5
Opto1,5696.75,228.5
Opto1,5964.0,228.5
Opto1,6247.75,228.5
Opto1,6514.75,228.5
Opto1,6781.75,228.5
Opto1,7499.75,228.5
Opto1,7766.75,228.5
Opto1,8050.5,228.5
Opto1,8317.5,228.5
Opto1,8584.5,245.25
Opto1,8868.5,228.5
Opto1,9135.5,228.5
Opto1,9402.5,228.5
Opto1,9669.5,228.75
Opto1,9936.75,228.5
Opto1,10237.25,211.75
Opto1,10487.5,228.5
Opto1,10754.75,228.5
Opto1,11038.5,228.5
Opto1,11305.5,228.5
Opto1,11572.5,228.5
Opto1,11839.75,228.25
Opto1,12106.75,228.5
Opto1,12373.75,228.5
Opto1,12640.75,228.5
Opto1,12908.0,228.5
Opto1,13175.0,228.5
Opto1,13458.75,228.5
Opto1,13725.75,228.5
Opto1,13993.0,228.5
Opto1,14260.0,228.5
Opto1,14543.75,211.75
Opto1,15245.0,228.25
Opto1,15528.75,228.25
Opto1,15795.75,211.75
Opto1,16062.75,228.5
Opto1,16329.75,228.5
Opto1,16597.0,228.5
Opto1,16864.0,228.5
Opto1,17598.5,228.5
Opto1,17865.5,228.5
Opto1,18132.5,228.5
Opto1,18399.75,228.5
Opto1,18666.75,228.5
Opto1,18933.75,228.5
Opto1,19217.75,228.25
Opto1,19935.5,228.5
Opto1,20653.25,228.5
Opto1,20920.25,228.5
Opto1,21187.25,228.5
Opto1,21454.5,228.5
Opto1,21738.25,228.5
Opto1,22005.25,228.5
Opto1,22272.25,228.5
Opto1,22990.0,228.5
Opto1,23257.25,228.5
Opto1,23524.25,228.5
Opto1,23808.0,228.5
Opto1,24075.0,228.5
Opto1,24342.25,228.5
Opto1,25060.0,228.5
Opto1,25327.0,228.5
Opto1,25594.0,228.5
Opto1,25877.75,228.5
Opto1,26145.0,228.5
Opto1,26862.75,228.5
Opto1,27129.75,228.5
Opto1,27396.75,228.5
Opto1,27680.75,228.25
Opto1,27947.75,228.5
Opto1,28214.75,211.75
Opto1,28481.75,228.5
Opto1,28749.0,228.5
Opto1,29016.0,228.5
Opto1,29299.75,228.5
Opto1,29566.75,228.5
Opto1,29834.0,228.5
Opto1,30101.0,228.5
Opto1,30368.0,228.5
Opto1,30635.25,228.5
Opto1,31369.75,228.25
Opto1,31636.75,211.75
Opto1,31903.75,228.5
Opto1,32170.75,228.5
Opto1,32438.0,228.5
Opto1,32705.0,245.25
Opto1,32988.75,228.5
Opto1,33255.75,228.5
Opto1,33523.0,228.5
Opto1,33790.0,228.5
Opto1,34057.0,228.5
Opto1,34340.75,228.5
Opto1,34608.0,228.5
Opto1,34875.0,228.5
Opto1,35142.0,228.5
Opto1,35409.25,228.25
Opto1,35676.25,228.5
Opto1,35960.0,211.75
Opto1,36227.0,228.5
Opto1,36494.25,228.25
Opto1,36761.25,228.5
Opto1,37028.25,228.5
Opto1,37295.25,245.25
Opto1,38030.0,228.25
Opto1,38297.0,228.5
Opto1,38564.0,228.5
Opto1,38831.0,228.5
Opto1,39098.0,228.5
Opto1,39816.0,228.5
Opto1,40099.75,211.75
Opto1,40350.0,228.5
Opto1,40617.0,228.5
Opto1,40884.25,228.5
Opto1,41151.25,228.5
Opto1,41435.0,228.5
Opto1,41702.0,228.5
Opto1,41969.25,228.5
Opto1,42236.25,228.5
Opto1,42503.25,228.5
Opto1,42787.25,228.25
Opto1,43054.25,228.5
Opto1,43321.25,228.5
Opto1,44039.0,228.5
Opto1,44306.0,245.25
Opto1,44590.0,228.5
Opto1,44857.0,228.5
Opto1,45124.0,245.25
Opto1,45407.75,228.5
Opto1,45675.0,228.5
Opto1,45942.0,228.5
Opto1,46209.0,228.5
Opto1,46476.0,228.5
Opto1,46760.0,228.5
Opto1,47027.0,228.5
Opto1,47294.0,228.5
Opto1,47561.0,228.5
Opto1,47828.25,228.5
Opto1,48095.25,228.5
Opto1,48379.0,228.5
Opto1,48646.0,228.5
Opto1,48913.25,228.5
Opto1,49180.25,228.5
Opto1,49447.25,228.5
Opto1,49714.5,245.0
Opto1,49998.25,228.5
Opto1,50265.25,228.5
Opto1,50532.25,228.5
Opto1,50799.5,228.5
Opto1,51066.5,245.25
Opto1,51801.0,228.5
Opto1,52518.75,228.5
Opto1,52785.75,228.5
Opto1,53052.75,228.5
Opto1,53320.0,228.5
Opto1,53587.0,228.5
Opto1,53854.0,245.25
Opto1,54138.0,228.25
Opto1,54405.0,228.5
Opto1,54672.0,228.5
Opto1,54939.0,228.5
Opto1,55206.25,228.5
Opto1,55490.0,228.5
Opto1,55757.0,228.5
Opto1,56024.0,228.5
Opto1,56291.25,228.5
Opto1,56558.25,228.5
Opto1,56825.25,245.25
Opto1,57559.75,228.5
